,Sh.Curr,Value in 2023-03-27,Change in 2023-03-27,Value in 2023-03-28,Change in 2023-03-28,Value in 2023-03-29,Change in 2023-03-29,Value in 2023-03-30,Change in 2023-03-30,Value in 2023-03-31,Change in 2023-03-31,Value in 2023-04-01,Change in 2023-04-01,Value in 2023-04-02,Change in 2023-04-02,Value in 2023-04-03,Change in 2023-04-03,Value in 2023-04-04,Change in 2023-04-04,Value in 2023-04-05,Change in 2023-04-05,Value in 2023-04-06,Change in 2023-04-06,Value in 2023-04-07,Change in 2023-04-07,Value in 2023-04-08,Change in 2023-04-08,Value in 2023-04-10,Change in 2023-04-10,Value in 2023-04-12,Change in 2023-04-12,Value in 2023-04-13,Change in 2023-04-13,Value in 2023-04-14,Change in 2023-04-14,Value in 2023-04-16,Change in 2023-04-16,Value in 2023-04-18,Change in 2023-04-18,Value in 2023-04-19,Change in 2023-04-19,Value in 2023-04-24,Change in 2023-04-24,Value in 2023-04-25,Change in 2023-04-25,Value in 2023-04-26,Change in 2023-04-26
0,USD,457.29,-5.07,455.0,-3.87,448.39,-6.61,448.39,-6.61,448.05,-0.34,451.71,3.66,451.71,3.66,451.71,3.66,450.83,-0.88,449.39,-1.44,446.79,-2.6,447.31,0.52,445.01,-2.3,445.01,-2.3,448.82,4.53,452.97,4.15,449.86,-3.11,450.25,0.39,448.41,-1.84,451.0,2.59,457.68,2.05,455.04,-1.3,453.93,-1.11
1,EUR,490.35,-3.13,492.13,-1.71,486.91,-5.22,486.91,-5.22,486.58,-0.33,491.64,5.06,491.64,5.06,491.64,5.06,489.78,-1.86,491.23,1.45,489.32,-1.91,487.84,-1.48,485.59,-2.25,485.59,-2.25,489.75,5.25,494.92,5.17,495.88,0.96,497.93,2.05,492.31,-5.62,494.88,2.57,501.34,1.97,501.86,-0.07,501.18,-0.68
2,RUB,5.97,-0.02,5.94,-0.06,5.83,-0.11,5.83,-0.11,5.82,-0.01,5.86,0.04,5.86,0.04,5.86,0.04,5.78,-0.08,5.66,-0.12,5.63,-0.03,5.54,-0.09,5.36,-0.18,5.36,-0.18,5.46,0.02,5.52,0.06,5.51,-0.01,5.52,0.01,5.52,0.01,5.53,0.01,5.68,0.1,5.59,-0.03,5.56,-0.03
3,AUD,303.69,-4.94,303.53,-1.21,299.48,-4.05,299.48,-4.05,300.06,0.58,302.37,2.31,302.37,2.31,302.37,2.31,302.6,0.23,303.56,0.96,298.86,-4.7,299.56,0.7,297.36,-2.2,297.36,-2.2,298.91,2.35,302.0,3.09,302.76,0.76,305.09,2.33,300.52,-4.57,303.88,3.36,306.0,-0.09,303.28,-1.6,299.5,-3.78
4,GBP,558.4,-5.26,559.29,-2.83,553.94,-5.35,553.94,-5.35,553.07,-0.87,558.63,5.56,558.63,5.56,558.63,5.56,556.78,-1.85,562.28,5.5,557.64,-4.64,557.26,-0.38,553.59,-3.67,553.59,-3.67,558.29,5.82,562.32,4.03,562.82,0.5,563.17,0.35,556.03,-7.14,560.68,4.65,566.75,0.4,567.34,0.11,565.91,-1.43
5,DKK,65.84,-0.47,66.06,-0.23,65.36,-0.7,65.36,-0.7,65.33,-0.03,66.02,0.69,66.02,0.69,66.02,0.69,65.75,-0.27,65.95,0.2,65.69,-0.26,65.5,-0.19,65.18,-0.32,65.18,-0.32,65.74,0.7,66.44,0.7,66.56,0.12,66.84,0.28,66.09,-0.75,66.43,0.34,67.28,0.26,67.34,-0.01,67.25,-0.09
6,AED,124.53,-1.36,123.91,-1.06,122.1,-1.81,122.1,-1.81,122.02,-0.08,123.0,0.98,123.0,0.98,123.0,0.98,122.76,-0.24,122.38,-0.38,121.66,-0.72,121.82,0.16,121.18,-0.64,121.18,-0.64,122.23,1.25,123.36,1.13,122.51,-0.85,122.62,0.11,122.12,-0.5,122.83,0.71,124.65,0.57,123.92,-0.37,123.62,-0.3
7,CAD,332.0,-5.1,332.58,-1.63,330.01,-2.57,330.01,-2.57,330.76,0.75,333.56,2.8,333.56,2.8,333.56,2.8,334.42,0.86,334.92,0.5,331.57,-3.35,331.98,0.41,329.66,-2.32,329.66,-2.32,332.48,3.21,336.66,4.18,335.87,-0.79,338.15,2.28,335.64,-2.51,337.4,1.76,338.42,0.04,335.3,-1.81,332.92,-2.38
8,CNY,66.5,-0.64,66.11,-0.57,65.13,-0.98,65.13,-0.98,65.09,-0.04,65.7,0.61,65.7,0.61,65.7,0.61,65.46,-0.24,65.34,-0.12,64.96,-0.38,65.05,0.09,64.79,-0.26,64.79,-0.26,65.18,0.55,65.82,0.64,65.42,-0.4,65.72,0.3,65.28,-0.44,65.58,0.3,66.44,0.22,65.77,-0.42,65.55,-0.22
9,KWD,1495.14,-13.13,1485.62,-11.66,1464.99,-20.63,1464.99,-20.63,1461.64,-3.35,1472.33,10.69,1472.33,10.69,1472.33,10.69,1469.08,-3.25,1466.2,-2.88,1456.48,-9.72,1458.41,1.93,1451.29,-7.12,1451.29,-7.12,1465.2,16.49,1478.36,13.16,1469.6,-8.76,1471.89,2.29,1464.48,-7.41,1472.89,8.41,1493.88,6.79,1487.06,-3.76,1483.72,-3.34
10,KGS,5.23,-0.06,5.2,-0.05,5.13,-0.07,5.13,-0.07,5.13,-0.07,5.17,0.04,5.17,0.04,5.17,0.04,5.16,-0.01,5.14,-0.02,5.11,-0.03,5.12,0.01,5.09,-0.03,5.09,-0.03,5.13,0.05,5.18,0.05,5.15,-0.03,5.14,-0.01,5.12,-0.02,5.15,0.03,5.23,0.02,5.2,-0.01,5.19,-0.01
